host_name,alias,ip_address,hostgroup
ZENITH_BANK_OREGUN_2,ZENITH_BANK_OREGUN_2,10.24.2.145,ZenithBank
ZENITH_BANK_OGBA_1_POP,ZENITH_BANK_OGBA_1_POP,10.24.2.169,ZenithBank
ZENITH_BANK_OGBA_2,ZENITH_BANK_OGBA_2,10.24.2.193,ZenithBank
ZENITH_BANK_CHARITY,ZENITH_BANK_CHARITY,10.24.2.225,ZenithBank
]ZENITH_BANK_AKUTE,]ZENITH_BANK_AKUTE,10.24.3.25,ZenithBank
ZENITH_BANK_OREGUN_1,ZENITH_BANK_OREGUN_1,10.24.4.4,ZenithBank
ZENITH_BANK_MATORI,ZENITH_BANK_MATORI,10.25.2.9,ZenithBank
ZENITH_BANK_COMPUTER_VILLAGE_,ZENITH_BANK_COMPUTER_VILLAGE_,10.25.2.52,ZenithBank
ZENITH_BANK_EJIGBO,ZENITH_BANK_EJIGBO,10.25.2.65,ZenithBank
ZENITH_BANK_OTTA_1,ZENITH_BANK_OTTA_1,10.25.2.73,ZenithBank
ZENITH_LASU,ZENITH_LASU,10.25.2.89,ZenithBank
ZENITH_BANK_ACME_ROAD,ZENITH_BANK_ACME_ROAD,10.25.2.114,ZenithBank
